estado,cidade,tarifa_energia,irradiação_mensal,tamanho_sistema_kWp,consumo_mensal_kWh,custo_total_R$,geracao_estimativa_kWh,economia_mensal_R$,tipo_telhado,classe_consumo,possui_incentivo,ano_instalacao,payback_meses
DF,Planaltina,0.92,5.0,8.0,332.4,33724.37,960.0,305.81,plano,rural,não,2019,110.3
PE,Jaboatão dos Guararapes,0.87,5.3,5.6,500.4,24733.03,712.3,435.35,inclinado,residencial,não,2021,56.8
RS,Pelotas,0.95,4.3,7.1,712.0,31309.2,732.7,676.4,plano,rural,sim,2022,46.3
RS,Santa Cruz do Sul,0.95,4.3,8.7,915.1,38453.55,897.8,852.95,inclinado,rural,sim,2023,45.1
RJ,Nova Friburgo,1.1,4.8,6.6,590.2,32880.06,760.3,649.22,plano,residencial,não,2021,50.6
GO,Aparecida de Goiânia,0.86,5.1,5.3,920.5,23330.77,648.7,557.9,inclinado,residencial,sim,2023,41.8
RJ,Niterói,1.1,4.8,5.0,616.9,23849.7,576.0,633.6,plano,rural,não,2021,37.6
RJ,Rio de Janeiro,1.1,4.8,3.2,736.6,14302.37,368.6,405.5,plano,rural,sim,2022,35.3
GO,Anápolis,0.86,5.1,9.9,995.9,46752.73,1211.8,856.47,plano,residencial,sim,2022,54.6
GO,Aparecida de Goiânia,0.86,5.1,6.8,268.6,30689.52,832.3,231.0,plano,rural,sim,2022,132.9
BA,Feira de Santana,0.88,5.2,4.2,539.1,19867.29,524.2,461.26,inclinado,rural,não,2021,43.1
BA,Juazeiro,0.88,5.2,6.8,807.5,33550.1,848.6,710.6,plano,rural,não,2019,47.2
MG,Contagem,0.9,5.0,9.5,928.9,40845.35,1140.0,836.01,plano,rural,sim,2019,48.9
PE,Jaboatão dos Guararapes,0.87,5.3,6.2,840.8,28463.03,788.6,686.12,inclinado,residencial,não,2021,41.5
RS,Porto Alegre,0.95,4.3,3.5,871.6,15493.09,361.2,343.14,plano,residencial,não,2022,45.2
MG,Juiz de Fora,0.9,5.0,4.6,821.9,22408.63,552.0,496.8,inclinado,residencial,sim,2020,45.1
CE,Juazeiro do Norte,0.89,5.5,8.7,481.9,36815.06,1148.4,428.89,inclinado,residencial,não,2020,85.8
SC,Joinville,0.83,4.4,4.4,982.2,21874.2,464.6,385.65,plano,rural,não,2023,56.7
MG,Uberlândia,0.9,5.0,3.0,379.7,13859.13,360.0,324.0,plano,residencial,sim,2019,42.8
GO,Goiânia,0.86,5.1,3.4,762.6,14477.48,416.2,357.9,inclinado,rural,sim,2020,40.5
RS,Santa Maria,0.95,4.3,2.1,887.8,9231.28,216.7,205.88,plano,rural,sim,2020,44.8
DF,Taguatinga,0.92,5.0,9.3,943.8,41034.39,1116.0,868.3,inclinado,rural,sim,2019,47.3
SC,Joinville,0.83,4.4,3.4,666.9,16706.64,359.0,298.0,plano,residencial,sim,2022,56.1
MG,Belo Horizonte,0.9,5.0,9.6,319.6,44942.36,1152.0,287.64,plano,rural,sim,2019,156.2
CE,Maracanaú,0.89,5.5,7.0,995.4,31510.6,924.0,822.36,inclinado,residencial,sim,2019,38.3
SP,Ribeirão Preto,0.85,4.5,3.3,852.5,14963.16,356.4,302.94,plano,residencial,não,2022,49.4
RJ,Rio de Janeiro,1.1,4.8,5.4,797.8,25843.09,622.1,684.29,plano,rural,não,2022,37.8
MG,Belo Horizonte,0.9,5.0,3.0,731.8,13548.75,360.0,324.0,plano,rural,não,2019,41.8
CE,Sobral,0.89,5.5,2.7,352.1,11640.4,356.4,313.37,plano,rural,sim,2022,37.1
RS,Novo Hamburgo,0.95,4.3,8.7,327.8,41093.05,897.8,311.41,inclinado,residencial,sim,2020,132.0
PE,Petrolina,0.87,5.3,4.9,309.1,21145.86,623.3,268.92,inclinado,residencial,sim,2023,78.6
MG,Uberlândia,0.9,5.0,6.5,335.5,31683.07,780.0,301.95,plano,residencial,não,2022,104.9
RS,Caxias do Sul,0.95,4.3,5.9,960.7,28043.87,608.9,578.44,inclinado,rural,não,2019,48.5
SP,Santos,0.85,4.5,3.1,486.6,15150.23,334.8,284.58,plano,rural,sim,2021,53.2
RS,Pelotas,0.95,4.3,5.9,955.2,25303.91,608.9,578.44,plano,rural,sim,2021,43.7
DF,Samambaia,0.92,5.0,2.8,506.3,13131.4,336.0,309.12,inclinado,rural,não,2022,42.5
SC,Florianópolis,0.83,4.4,8.1,633.7,37436.96,855.4,525.97,plano,rural,sim,2023,71.2
MG,Juiz de Fora,0.9,5.0,5.2,978.0,25754.58,624.0,561.6,inclinado,residencial,não,2022,45.9
SP,São José dos Campos,0.85,4.5,2.8,301.3,13188.51,302.4,256.11,plano,rural,não,2021,51.5
DF,Ceilândia,0.92,5.0,8.2,372.7,39877.38,984.0,342.88,inclinado,residencial,sim,2021,116.3
RJ,Campos dos Goytacazes,1.1,4.8,6.4,823.1,27881.54,737.3,811.01,plano,rural,não,2019,34.4
SC,Criciúma,0.83,4.4,4.2,855.4,17786.94,443.5,368.12,plano,rural,não,2022,48.3
SP,São José dos Campos,0.85,4.5,8.4,773.9,40371.55,907.2,657.81,inclinado,residencial,não,2022,61.4
PE,Olinda,0.87,5.3,6.5,528.5,28013.77,826.8,459.8,inclinado,rural,sim,2019,60.9
GO,Aparecida de Goiânia,0.86,5.1,6.8,605.1,33129.74,832.3,520.39,inclinado,rural,não,2020,63.7
CE,Sobral,0.89,5.5,8.0,274.6,36834.15,1056.0,244.39,inclinado,residencial,não,2023,150.7
SC,Chapecó,0.83,4.4,6.9,462.8,30678.99,728.6,384.12,inclinado,rural,sim,2022,79.9
RJ,Rio de Janeiro,1.1,4.8,4.6,842.9,22326.12,529.9,582.91,plano,residencial,não,2021,38.3
SC,Joinville,0.83,4.4,7.9,256.1,38560.63,834.2,212.56,inclinado,rural,sim,2023,181.4
GO,Aparecida de Goiânia,0.86,5.1,4.9,902.5,22216.11,599.8,515.79,plano,residencial,sim,2019,43.1
PE,Petrolina,0.87,5.3,5.1,672.9,23857.11,648.7,564.39,plano,residencial,sim,2021,42.3
BA,Vitória da Conquista,0.88,5.2,3.0,764.3,12984.67,374.4,329.47,inclinado,rural,sim,2022,39.4
PE,Olinda,0.87,5.3,7.6,397.4,36915.59,966.7,345.74,plano,residencial,sim,2023,106.8
SC,Joinville,0.83,4.4,2.5,338.8,11200.29,264.0,219.12,inclinado,rural,sim,2020,51.1
BA,Ilhéus,0.88,5.2,8.7,656.3,43101.7,1085.8,577.54,plano,rural,não,2022,74.6
MG,Contagem,0.9,5.0,6.8,778.9,33795.79,816.0,701.01,plano,residencial,sim,2021,48.2
DF,Brasília,0.92,5.0,9.9,585.5,48088.68,1188.0,538.66,inclinado,residencial,sim,2023,89.3
SP,Campinas,0.85,4.5,5.9,459.0,29372.17,637.2,390.15,plano,rural,não,2022,75.3
BA,Ilhéus,0.88,5.2,5.5,685.2,24026.31,686.4,602.98,inclinado,residencial,sim,2020,39.8
BA,Vitória da Conquista,0.88,5.2,8.8,942.4,36962.3,1098.2,829.31,inclinado,rural,sim,2020,44.6
RJ,Rio de Janeiro,1.1,4.8,7.3,740.4,34326.59,841.0,814.44,inclinado,residencial,sim,2020,42.1
RJ,Volta Redonda,1.1,4.8,4.9,549.7,23327.43,564.5,604.67,inclinado,residencial,não,2019,38.6
SC,Florianópolis,0.83,4.4,2.8,605.8,11946.58,295.7,245.41,plano,residencial,não,2019,48.7
DF,Taguatinga,0.92,5.0,8.3,708.7,39920.06,996.0,652.0,inclinado,residencial,não,2019,61.2
CE,Fortaleza,0.89,5.5,2.8,800.1,12629.93,369.6,328.94,inclinado,rural,não,2021,38.4
DF,Ceilândia,0.92,5.0,5.4,446.5,23588.27,648.0,410.78,inclinado,residencial,não,2020,57.4
MG,Montes Claros,0.9,5.0,6.0,567.8,26160.97,720.0,511.02,inclinado,residencial,sim,2022,51.2
SC,Chapecó,0.83,4.4,9.0,850.4,38023.14,950.4,705.83,plano,rural,sim,2021,53.9
MG,Montes Claros,0.9,5.0,4.9,503.9,22538.66,588.0,453.51,inclinado,rural,não,2022,49.7
SC,Blumenau,0.83,4.4,3.3,278.3,15468.59,348.5,230.99,plano,residencial,sim,2022,67.0
SC,Chapecó,0.83,4.4,8.7,731.8,42821.93,918.7,607.39,plano,residencial,não,2019,70.5
PE,Caruaru,0.87,5.3,8.2,913.0,35495.13,1043.0,794.31,inclinado,rural,sim,2023,44.7
DF,Samambaia,0.92,5.0,2.7,841.8,12175.72,324.0,298.08,inclinado,rural,não,2022,40.8
DF,Ceilândia,0.92,5.0,9.9,825.7,46402.97,1188.0,759.64,plano,rural,sim,2023,61.1
GO,Catalão,0.86,5.1,3.3,870.4,16287.48,403.9,347.37,inclinado,rural,sim,2021,46.9
GO,Anápolis,0.86,5.1,8.3,866.7,36360.84,1015.9,745.36,inclinado,rural,sim,2023,48.8
RS,Novo Hamburgo,0.95,4.3,6.7,276.7,29564.36,691.4,262.86,plano,residencial,não,2019,112.5
GO,Anápolis,0.86,5.1,8.3,284.2,38762.52,1015.9,244.41,inclinado,residencial,sim,2022,158.6
DF,Taguatinga,0.92,5.0,5.8,776.2,27101.0,696.0,640.32,inclinado,rural,sim,2022,42.3
DF,Taguatinga,0.92,5.0,8.3,922.2,35418.44,996.0,848.42,inclinado,rural,sim,2021,41.7
RJ,Volta Redonda,1.1,4.8,7.2,912.3,32402.82,829.4,912.38,inclinado,residencial,sim,2021,35.5
GO,Aparecida de Goiânia,0.86,5.1,2.2,456.9,10180.17,269.3,231.58,plano,residencial,não,2022,44.0
GO,Rio Verde,0.86,5.1,7.4,550.4,35926.54,905.8,473.34,inclinado,residencial,não,2021,75.9
SC,Chapecó,0.83,4.4,4.8,429.9,21933.43,506.9,356.82,plano,rural,não,2020,61.5
SC,Florianópolis,0.83,4.4,3.6,469.8,17244.18,380.2,315.53,plano,rural,sim,2019,54.7
CE,Sobral,0.89,5.5,6.8,942.3,33187.42,897.6,798.86,inclinado,residencial,não,2019,41.5
MG,Uberlândia,0.9,5.0,3.0,468.8,12685.61,360.0,324.0,plano,residencial,não,2019,39.2
CE,Caucaia,0.89,5.5,10.0,834.2,48806.19,1320.0,742.44,plano,rural,sim,2022,65.7
RS,Caxias do Sul,0.95,4.3,2.8,334.7,13351.77,289.0,274.51,inclinado,rural,sim,2020,48.6
RS,Caxias do Sul,0.95,4.3,8.1,802.8,36631.68,835.9,762.66,plano,rural,não,2022,48.0
CE,Fortaleza,0.89,5.5,6.5,894.0,31958.63,858.0,763.62,inclinado,residencial,não,2020,41.9
MG,Juiz de Fora,0.9,5.0,7.0,596.1,30683.05,840.0,536.49,inclinado,residencial,não,2021,57.2
MG,Montes Claros,0.9,5.0,9.4,832.2,44800.56,1128.0,748.98,inclinado,rural,sim,2019,59.8
RS,Novo Hamburgo,0.95,4.3,9.2,804.2,44307.6,949.4,763.99,inclinado,rural,sim,2020,58.0
DF,Samambaia,0.92,5.0,8.7,340.2,41069.41,1044.0,312.98,inclinado,residencial,não,2022,131.2
MG,Betim,0.9,5.0,7.0,544.5,32923.26,840.0,490.05,inclinado,residencial,sim,2019,67.2
BA,Feira de Santana,0.88,5.2,6.6,919.5,31528.04,823.7,724.84,plano,residencial,sim,2020,43.5
MG,Montes Claros,0.9,5.0,6.4,975.8,27484.35,768.0,691.2,plano,residencial,não,2023,39.8
RJ,Campos dos Goytacazes,1.1,4.8,5.8,855.2,25832.05,668.2,734.98,plano,rural,sim,2019,35.1
SC,Blumenau,0.83,4.4,5.0,716.0,24121.05,528.0,438.24,inclinado,residencial,não,2020,55.0
DF,Samambaia,0.92,5.0,4.1,839.4,18380.25,492.0,452.64,plano,rural,não,2020,40.6
SC,Florianópolis,0.83,4.4,5.3,800.1,22964.71,559.7,464.53,inclinado,rural,não,2023,49.4
SP,Ribeirão Preto,0.85,4.5,9.1,428.0,41322.09,982.8,363.8,inclinado,residencial,não,2022,113.6
BA,Juazeiro,0.88,5.2,5.6,673.8,25683.31,698.9,592.94,plano,residencial,não,2021,43.3
CE,Fortaleza,0.89,5.5,2.8,502.4,13962.39,369.6,328.94,inclinado,rural,não,2023,42.4
RJ,Nova Friburgo,1.1,4.8,4.2,461.5,20326.02,483.8,507.65,plano,residencial,sim,2019,40.0
SP,Campinas,0.85,4.5,3.4,327.7,14915.16,367.2,278.54,inclinado,rural,sim,2021,53.5
CE,Sobral,0.89,5.5,2.1,789.2,10050.77,277.2,246.71,plano,residencial,sim,2021,40.7
SC,Criciúma,0.83,4.4,9.7,662.6,41967.39,1024.3,549.96,plano,rural,não,2019,76.3
SC,Blumenau,0.83,4.4,7.0,667.6,34963.14,739.2,554.11,inclinado,rural,não,2019,63.1
DF,Brasília,0.92,5.0,3.6,915.3,17129.89,432.0,397.44,inclinado,rural,sim,2022,43.1
GO,Catalão,0.86,5.1,9.5,835.9,41039.03,1162.8,718.87,plano,rural,não,2023,57.1
BA,Vitória da Conquista,0.88,5.2,2.9,757.5,12341.05,361.9,318.49,plano,residencial,não,2023,38.7
BA,Feira de Santana,0.88,5.2,5.5,696.3,25403.02,686.4,604.03,plano,residencial,sim,2019,42.1
RJ,Volta Redonda,1.1,4.8,3.4,554.7,15445.07,391.7,430.85,inclinado,residencial,sim,2020,35.8
SC,Florianópolis,0.83,4.4,9.9,530.5,45880.39,1045.4,440.31,plano,residencial,sim,2021,104.2
DF,Brasília,0.92,5.0,5.8,486.3,24906.29,696.0,447.4,inclinado,rural,não,2023,55.7
RJ,Petrópolis,1.1,4.8,6.0,342.0,26926.31,691.2,376.2,plano,rural,sim,2020,71.6
SP,São Paulo,0.85,4.5,3.7,679.0,15964.23,399.6,339.66,plano,residencial,sim,2023,47.0
CE,Juazeiro do Norte,0.89,5.5,5.9,579.3,27698.14,778.8,515.58,plano,residencial,não,2023,53.7
DF,Taguatinga,0.92,5.0,5.8,580.2,25170.19,696.0,533.78,inclinado,rural,sim,2021,47.2
PE,Petrolina,0.87,5.3,4.4,623.0,21889.44,559.7,486.92,inclinado,rural,não,2023,45.0
CE,Caucaia,0.89,5.5,8.4,877.7,39493.48,1108.8,781.15,inclinado,residencial,não,2023,50.6
SP,São José dos Campos,0.85,4.5,6.7,524.2,33418.41,723.6,445.57,inclinado,residencial,não,2022,75.0
CE,Juazeiro do Norte,0.89,5.5,3.5,272.2,17271.23,462.0,242.26,plano,rural,não,2023,71.3
RJ,Volta Redonda,1.1,4.8,5.7,496.1,24327.84,656.6,545.71,plano,rural,não,2023,44.6
DF,Brasília,0.92,5.0,9.3,489.7,44839.63,1116.0,450.52,plano,rural,não,2023,99.5
DF,Brasília,0.92,5.0,6.8,299.3,29322.16,816.0,275.36,inclinado,rural,não,2021,106.5
RS,Caxias do Sul,0.95,4.3,8.6,324.4,37982.95,887.5,308.18,plano,rural,sim,2021,123.2
RS,Porto Alegre,0.95,4.3,9.3,275.3,44387.17,959.8,261.54,inclinado,rural,não,2019,169.7
MG,Belo Horizonte,0.9,5.0,3.7,413.1,17000.54,444.0,371.79,plano,rural,não,2022,45.7
RJ,Niterói,1.1,4.8,9.1,608.7,42115.65,1048.3,669.57,inclinado,rural,sim,2020,62.9
DF,Planaltina,0.92,5.0,9.8,579.9,47317.65,1176.0,533.51,plano,residencial,sim,2022,88.7
GO,Aparecida de Goiânia,0.86,5.1,4.5,385.3,19019.6,550.8,331.36,plano,residencial,sim,2023,57.4
SP,São Paulo,0.85,4.5,9.0,885.1,39182.91,972.0,752.34,inclinado,residencial,não,2020,52.1
MG,Uberlândia,0.9,5.0,6.1,277.1,28388.88,732.0,249.39,plano,residencial,sim,2022,113.8
GO,Goiânia,0.86,5.1,2.0,434.3,8516.29,244.8,210.53,plano,rural,sim,2022,40.5
DF,Samambaia,0.92,5.0,6.0,388.6,27576.14,720.0,357.51,inclinado,residencial,não,2022,77.1
DF,Samambaia,0.92,5.0,7.5,564.7,35860.3,900.0,519.52,inclinado,residencial,sim,2020,69.0
MG,Montes Claros,0.9,5.0,5.9,755.2,27004.95,708.0,637.2,inclinado,residencial,sim,2023,42.4
BA,Camaçari,0.88,5.2,2.9,581.3,14030.37,361.9,318.49,inclinado,rural,não,2019,44.1
PE,Recife,0.87,5.3,7.3,740.4,35967.12,928.6,644.15,inclinado,rural,não,2023,55.8
RS,Novo Hamburgo,0.95,4.3,9.9,587.4,43968.51,1021.7,558.03,plano,residencial,sim,2020,78.8
PE,Recife,0.87,5.3,7.7,759.5,35963.98,979.4,660.76,inclinado,rural,sim,2022,54.4
RJ,Petrópolis,1.1,4.8,4.7,523.7,21658.89,541.4,576.07,inclinado,rural,não,2019,37.6
BA,Feira de Santana,0.88,5.2,2.1,540.6,8865.95,262.1,230.63,plano,rural,não,2022,38.4
DF,Brasília,0.92,5.0,2.8,526.5,13896.85,336.0,309.12,plano,rural,não,2022,45.0
RJ,Niterói,1.1,4.8,8.8,784.8,37239.03,1013.8,863.28,inclinado,rural,não,2021,43.1
MG,Belo Horizonte,0.9,5.0,6.5,538.4,29322.17,780.0,484.56,inclinado,residencial,sim,2020,60.5
RS,Santa Maria,0.95,4.3,3.0,728.1,14716.19,309.6,294.12,inclinado,residencial,não,2019,50.0
DF,Brasília,0.92,5.0,4.3,928.6,20106.87,516.0,474.72,inclinado,residencial,não,2021,42.4
SP,São José dos Campos,0.85,4.5,8.9,456.3,39961.98,961.2,387.86,plano,rural,não,2022,103.0
GO,Aparecida de Goiânia,0.86,5.1,8.9,1000.0,40378.13,1089.4,860.0,inclinado,rural,sim,2019,47.0
SP,Campinas,0.85,4.5,4.0,378.2,17710.81,432.0,321.47,plano,rural,não,2021,55.1
GO,Goiânia,0.86,5.1,3.9,280.6,17319.78,477.4,241.32,inclinado,residencial,não,2021,71.8
BA,Vitória da Conquista,0.88,5.2,4.8,806.6,21425.26,599.0,527.16,inclinado,rural,sim,2020,40.6
DF,Ceilândia,0.92,5.0,6.3,987.7,29696.37,756.0,695.52,plano,rural,sim,2020,42.7
DF,Ceilândia,0.92,5.0,5.0,502.8,22516.03,600.0,462.58,plano,rural,sim,2021,48.7
RJ,Petrópolis,1.1,4.8,5.4,549.4,24804.16,622.1,604.34,inclinado,residencial,não,2019,41.0
RJ,Campos dos Goytacazes,1.1,4.8,4.3,696.0,20905.41,495.4,544.9,inclinado,residencial,não,2021,38.4
GO,Goiânia,0.86,5.1,9.8,347.6,45529.24,1199.5,298.94,plano,residencial,não,2023,152.3
MG,Juiz de Fora,0.9,5.0,2.4,676.8,11571.84,288.0,259.2,inclinado,residencial,não,2022,44.6
DF,Taguatinga,0.92,5.0,3.0,579.3,12699.08,360.0,331.2,inclinado,rural,não,2022,38.3
BA,Feira de Santana,0.88,5.2,6.3,533.2,28201.72,786.2,469.22,inclinado,rural,não,2022,60.1
GO,Catalão,0.86,5.1,4.2,596.7,18057.48,514.1,442.11,plano,residencial,sim,2019,40.8
SP,Santos,0.85,4.5,4.4,746.6,19914.75,475.2,403.92,inclinado,rural,não,2023,49.3
BA,Salvador,0.88,5.2,7.8,577.1,36093.0,973.4,507.85,plano,residencial,não,2022,71.1
GO,Anápolis,0.86,5.1,7.6,453.4,32809.74,930.2,389.92,inclinado,residencial,sim,2022,84.1
RS,Santa Cruz do Sul,0.95,4.3,5.8,292.2,27521.11,598.6,277.59,inclinado,residencial,não,2023,99.1
RS,Pelotas,0.95,4.3,3.9,720.8,17969.22,402.5,382.36,inclinado,residencial,sim,2022,47.0
GO,Catalão,0.86,5.1,3.6,301.2,17160.24,440.6,259.03,plano,residencial,não,2022,66.2
MG,Belo Horizonte,0.9,5.0,5.2,623.7,25004.08,624.0,561.33,inclinado,rural,sim,2019,44.5
SP,Campinas,0.85,4.5,2.0,280.2,8906.28,216.0,183.6,plano,rural,sim,2020,48.5
DF,Planaltina,0.92,5.0,8.5,961.6,36043.27,1020.0,884.67,plano,residencial,sim,2023,40.7
RJ,Volta Redonda,1.1,4.8,9.2,741.7,40488.7,1059.8,815.87,inclinado,residencial,não,2023,49.6
RS,Porto Alegre,0.95,4.3,3.9,913.2,18447.17,402.5,382.36,inclinado,rural,sim,2021,48.2
DF,Brasília,0.92,5.0,8.6,307.2,36154.87,1032.0,282.62,plano,rural,não,2019,127.9
SP,Sorocaba,0.85,4.5,4.9,966.9,20590.39,529.2,449.82,plano,residencial,não,2020,45.8
RJ,Petrópolis,1.1,4.8,2.7,660.2,12135.79,311.0,342.14,plano,residencial,não,2020,35.5
PE,Caruaru,0.87,5.3,2.8,941.8,13959.16,356.2,309.86,plano,rural,sim,2022,45.0
BA,Camaçari,0.88,5.2,2.4,893.4,10908.63,299.5,263.58,plano,residencial,sim,2020,41.4
MG,Belo Horizonte,0.9,5.0,4.5,995.6,20737.5,540.0,486.0,inclinado,rural,não,2023,42.7
BA,Juazeiro,0.88,5.2,9.9,988.6,41989.4,1235.5,869.97,plano,rural,não,2020,48.3
PE,Petrolina,0.87,5.3,9.1,938.0,41393.99,1157.5,816.06,plano,residencial,não,2020,50.7
SC,Florianópolis,0.83,4.4,2.5,868.6,11520.73,264.0,219.12,inclinado,rural,sim,2020,52.6
BA,Vitória da Conquista,0.88,5.2,8.6,892.8,36258.42,1073.3,785.66,plano,residencial,sim,2021,46.2
GO,Aparecida de Goiânia,0.86,5.1,3.4,383.6,15505.78,416.2,329.9,inclinado,residencial,não,2021,47.0
PE,Jaboatão dos Guararapes,0.87,5.3,8.7,730.3,38081.87,1106.6,635.36,inclinado,residencial,não,2022,59.9
MG,Contagem,0.9,5.0,9.3,839.3,42809.96,1116.0,755.37,plano,residencial,não,2023,56.7
RJ,Niterói,1.1,4.8,2.6,701.8,12565.11,299.5,329.47,inclinado,rural,sim,2023,38.1
CE,Maracanaú,0.89,5.5,8.8,364.6,37546.85,1161.6,324.49,plano,rural,não,2019,115.7
CE,Sobral,0.89,5.5,4.1,340.0,17460.71,541.2,302.6,inclinado,rural,sim,2019,57.7
GO,Rio Verde,0.86,5.1,2.3,502.9,10218.51,281.5,242.11,inclinado,residencial,sim,2021,42.2
CE,Fortaleza,0.89,5.5,6.7,699.1,32370.36,884.4,622.2,inclinado,rural,não,2021,52.0
RJ,Niterói,1.1,4.8,6.6,446.5,32686.94,760.3,491.15,plano,residencial,não,2020,66.6
BA,Juazeiro,0.88,5.2,4.2,353.4,18188.09,524.2,310.99,inclinado,residencial,não,2021,58.5
MG,Uberlândia,0.9,5.0,7.3,729.6,32154.35,876.0,656.64,inclinado,residencial,não,2021,49.0
CE,Maracanaú,0.89,5.5,2.5,354.9,11375.16,330.0,293.7,plano,rural,sim,2020,38.7
DF,Brasília,0.92,5.0,8.0,767.7,37809.1,960.0,706.28,plano,rural,não,2021,53.5
MG,Juiz de Fora,0.9,5.0,9.1,767.1,44596.34,1092.0,690.39,plano,residencial,não,2022,64.6
DF,Samambaia,0.92,5.0,7.4,569.7,33462.18,888.0,524.12,inclinado,rural,não,2021,63.8
RS,Santa Maria,0.95,4.3,9.8,879.3,47179.94,1011.4,835.33,inclinado,residencial,não,2019,56.5
SC,Florianópolis,0.83,4.4,2.7,263.2,12014.81,285.1,218.46,plano,rural,não,2023,55.0
RS,Novo Hamburgo,0.95,4.3,3.7,266.8,16844.2,381.8,253.46,inclinado,rural,não,2021,66.5
PE,Jaboatão dos Guararapes,0.87,5.3,7.8,408.2,34239.77,992.2,355.13,plano,rural,não,2022,96.4
RJ,Niterói,1.1,4.8,4.0,712.5,19274.64,460.8,506.88,inclinado,rural,não,2023,38.0
SP,Santos,0.85,4.5,9.5,478.4,44318.95,1026.0,406.64,inclinado,residencial,não,2023,109.0
RS,Novo Hamburgo,0.95,4.3,7.7,429.8,33209.17,794.6,408.31,plano,residencial,sim,2021,81.3
MG,Belo Horizonte,0.9,5.0,2.1,531.3,10200.29,252.0,226.8,inclinado,rural,sim,2022,45.0
GO,Anápolis,0.86,5.1,5.5,897.9,27138.57,673.2,578.95,plano,rural,sim,2023,46.9
DF,Ceilândia,0.92,5.0,2.8,778.1,13296.57,336.0,309.12,plano,rural,sim,2022,43.0
GO,Goiânia,0.86,5.1,3.9,547.9,17778.36,477.4,410.53,inclinado,rural,não,2020,43.3
RS,Porto Alegre,0.95,4.3,2.4,805.8,11656.78,247.7,235.3,inclinado,residencial,não,2020,49.5
GO,Goiânia,0.86,5.1,8.9,653.1,39553.14,1089.4,561.67,inclinado,rural,sim,2022,70.4
GO,Aparecida de Goiânia,0.86,5.1,3.9,404.3,18648.33,477.4,347.7,plano,rural,não,2022,53.6
SP,Santos,0.85,4.5,7.7,602.4,37214.59,831.6,512.04,plano,rural,não,2021,72.7
MG,Uberlândia,0.9,5.0,5.7,335.9,25031.68,684.0,302.31,plano,residencial,sim,2020,82.8
MG,Belo Horizonte,0.9,5.0,7.0,313.7,34104.6,840.0,282.33,inclinado,rural,sim,2023,120.8
RS,Porto Alegre,0.95,4.3,4.4,998.2,20571.42,454.1,431.38,inclinado,residencial,não,2019,47.7
SC,Blumenau,0.83,4.4,8.1,461.6,34934.13,855.4,383.13,inclinado,rural,não,2022,91.2
SC,Blumenau,0.83,4.4,6.6,897.4,32881.24,697.0,578.48,inclinado,residencial,não,2019,56.8
GO,Aparecida de Goiânia,0.86,5.1,4.4,820.5,20262.16,538.6,463.16,plano,residencial,não,2020,43.7
PE,Recife,0.87,5.3,2.3,817.6,10831.34,292.6,254.53,inclinado,residencial,sim,2022,42.6
GO,Rio Verde,0.86,5.1,4.2,559.9,17694.12,514.1,442.11,plano,residencial,não,2023,40.0
SP,Campinas,0.85,4.5,2.2,760.8,9256.04,237.6,201.96,inclinado,rural,sim,2023,45.8
GO,Anápolis,0.86,5.1,9.7,776.2,43779.86,1187.3,667.53,plano,rural,sim,2021,65.6
SP,São Paulo,0.85,4.5,4.2,844.6,20562.4,453.6,385.56,inclinado,rural,não,2023,53.3
BA,Vitória da Conquista,0.88,5.2,8.7,489.2,37572.32,1085.8,430.5,inclinado,rural,não,2019,87.3
SP,Campinas,0.85,4.5,7.7,706.2,35409.44,831.6,600.27,inclinado,rural,sim,2021,59.0
PE,Caruaru,0.87,5.3,5.1,594.7,22721.17,648.7,517.39,plano,rural,não,2022,43.9
MG,Juiz de Fora,0.9,5.0,2.0,752.2,9887.41,240.0,216.0,plano,rural,não,2022,45.8
RJ,Rio de Janeiro,1.1,4.8,9.9,896.0,42386.74,1140.5,985.6,inclinado,rural,sim,2020,43.0
SP,Ribeirão Preto,0.85,4.5,6.4,268.6,30821.68,691.2,228.31,inclinado,residencial,não,2019,135.0
DF,Taguatinga,0.92,5.0,3.0,853.9,13291.35,360.0,331.2,inclinado,residencial,sim,2021,40.1
PE,Caruaru,0.87,5.3,4.9,716.5,22872.18,623.3,542.25,plano,rural,não,2019,42.2
CE,Caucaia,0.89,5.5,2.8,724.5,12469.78,369.6,328.94,inclinado,residencial,não,2022,37.9
DF,Taguatinga,0.92,5.0,6.1,421.3,27042.37,732.0,387.6,inclinado,rural,sim,2019,69.8
RJ,Nova Friburgo,1.1,4.8,8.1,957.1,38942.02,933.1,1026.43,inclinado,residencial,não,2021,37.9
CE,Juazeiro do Norte,0.89,5.5,8.7,970.7,42836.27,1148.4,863.92,plano,rural,não,2022,49.6
SC,Chapecó,0.83,4.4,9.6,980.9,44894.35,1013.8,814.15,inclinado,rural,não,2023,55.1
DF,Brasília,0.92,5.0,6.3,375.2,27848.33,756.0,345.18,inclinado,residencial,sim,2019,80.7
SC,Blumenau,0.83,4.4,7.3,960.2,35770.02,770.9,639.83,plano,residencial,sim,2022,55.9
GO,Catalão,0.86,5.1,6.8,857.4,30461.47,832.3,715.8,inclinado,residencial,sim,2021,42.6
RS,Caxias do Sul,0.95,4.3,3.3,363.5,14713.87,340.6,323.53,plano,rural,sim,2021,45.5
RJ,Niterói,1.1,4.8,8.6,722.0,39068.17,990.7,794.2,inclinado,rural,sim,2020,49.2
